,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
1 Aug 2018,4.0650,5.3300,4.7479,3.6291,4.0961,3.0105,3.1219,2.9837,51.7841
2 Aug 2018,4.0730,5.3283,4.7328,3.6503,4.0951,3.0022,3.1278,2.9808,51.8867
3 Aug 2018,4.0800,5.3016,4.7242,3.6513,4.1009,3.0012,3.1324,2.9779,51.9778
6 Aug 2018,4.0770,5.2842,4.7118,3.6650,4.0950,3.0137,3.1325,2.9822,51.9403
7 Aug 2018,4.0740,5.2819,4.7201,3.6607,4.0932,3.0282,3.1418,2.9831,51.9007
8 Aug 2018,4.0720,5.2545,4.7186,3.6691,4.0863,3.0182,3.1127,2.9847,51.8733
9 Aug 2018,4.0730,5.2468,4.7206,3.6647,4.0968,3.0242,3.1297,2.9880,51.8860
10 Aug 2018,4.0850,5.2104,4.6798,3.6842,4.1076,2.9816,3.1143,2.9778,52.0376
13 Aug 2018,4.0900,5.2172,4.6548,3.7050,4.1106,2.9738,3.1086,2.9720,52.1012
14 Aug 2018,4.0950,5.2281,4.6617,3.6869,4.1222,2.9705,3.1248,2.9788,52.1623
15 Aug 2018,4.1000,5.2103,4.6424,3.6834,4.1103,2.9618,3.1348,2.9710,52.2273
16 Aug 2018,4.1000,5.2103,4.6658,3.7000,4.1281,2.9795,3.1233,2.9792,52.2313
17 Aug 2018,4.1010,5.2136,4.6731,3.7029,4.1154,2.9835,3.1201,2.9843,52.2427
20 Aug 2018,4.0970,5.2171,4.6726,3.7023,4.1118,2.9924,3.1359,2.9864,52.1891
21 Aug 2018,4.0940,5.2526,4.7212,3.7151,4.1467,3.0140,3.1434,2.9953,52.1542
23 Aug 2018,4.1030,5.2818,4.7439,3.7007,4.1740,2.9940,3.1484,2.9940,52.2675
24 Aug 2018,4.1070,5.2705,4.7485,3.6854,4.1704,2.9883,3.1397,2.9947,52.3185
27 Aug 2018,4.0970,5.2605,4.7558,3.6847,4.1649,2.9941,3.1438,2.9969,52.1911
28 Aug 2018,4.0940,5.2833,4.7855,3.6853,4.1895,3.0070,3.1597,3.0034,52.1529
29 Aug 2018,4.1030,5.2822,4.7870,3.6891,4.1992,2.9960,3.1720,3.0023,52.2688
30 Aug 2018,4.1090,5.3433,4.8014,3.6822,4.2365,2.9942,3.1779,3.0063,52.3459
3 Sep 2018,4.1270,5.3205,4.7914,3.7173,4.2511,2.9756,3.1615,3.0102,52.5739
4 Sep 2018,4.1370,5.3082,4.7844,3.7120,4.2527,2.9671,3.1484,3.0061,52.7040
5 Sep 2018,4.1460,5.3139,4.7961,3.7167,4.2532,2.9735,3.1450,3.0065,52.8180
6 Sep 2018,4.1440,5.3611,4.8211,3.7209,4.2730,2.9816,3.1463,3.0134,52.7905
7 Sep 2018,4.1430,5.3619,4.8241,3.7415,4.2928,2.9656,3.1539,3.0122,52.7777
12 Sep 2018,4.1420,5.3933,4.7985,3.7145,4.2495,2.9491,3.1718,3.0100,52.7677
13 Sep 2018,4.1450,5.4051,4.8140,3.7172,4.2706,2.9778,3.1865,3.0203,52.8079
14 Sep 2018,4.1370,5.4323,4.8411,3.6987,4.2902,2.9807,3.1813,3.0226,52.7127
18 Sep 2018,4.1430,5.4427,4.8419,3.7001,4.3129,2.9850,3.1806,3.0236,52.8168
19 Sep 2018,4.1420,5.4650,4.8461,3.6857,4.2900,3.0005,3.1977,3.0251,52.7973
20 Sep 2018,4.1350,5.4532,4.8342,3.6831,4.2783,3.0024,3.1995,3.0205,52.7107
21 Sep 2018,4.1260,5.4521,4.8650,3.6620,4.3173,3.0107,3.1960,3.0269,52.8047
24 Sep 2018,4.1310,5.4190,4.8609,3.6658,4.3058,3.0041,3.1917,3.0268,52.8964
25 Sep 2018,4.1340,5.4325,4.8608,3.6620,4.2764,2.9934,3.1876,3.0255,52.9348
26 Sep 2018,4.1390,5.4511,4.8695,3.6664,4.2873,3.0041,3.1954,3.0322,52.9819
27 Sep 2018,4.1380,5.4299,4.8460,3.6701,4.2651,2.9926,3.1682,3.0313,52.9461
28 Sep 2018,4.1350,5.4040,4.8016,3.6432,4.2310,2.9851,3.1764,3.0231,52.8475
1 Oct 2018,4.1400,5.4052,4.8053,3.6329,4.2052,2.9866,3.2308,3.0206,52.8850
2 Oct 2018,4.1410,5.3696,4.7675,3.6436,4.2113,2.9670,3.2258,3.0079,52.8377
3 Oct 2018,4.1370,5.3843,4.7882,3.6337,4.1974,2.9621,3.2240,3.0096,52.7955
4 Oct 2018,4.1450,5.3719,4.7609,3.6252,4.1784,2.9322,3.2169,3.0006,52.9016
5 Oct 2018,4.1440,5.4000,4.7619,3.6392,4.1678,2.9273,3.2032,2.9975,52.8936
8 Oct 2018,4.1530,5.4213,4.7643,3.6655,4.1852,2.9283,3.1936,2.9960,53.0403
9 Oct 2018,4.1530,5.4255,4.7664,3.6697,4.1789,2.9374,3.2015,2.9977,53.0145
10 Oct 2018,4.1515,5.4530,4.7680,3.6674,4.1803,2.9434,3.2028,3.0014,52.9738
11 Oct 2018,4.1580,5.4848,4.8004,3.7036,4.2042,2.9455,3.1852,3.0091,53.0567
12 Oct 2018,4.1530,5.4882,4.8117,3.6994,4.1924,2.9574,3.1892,3.0149,53.0003
15 Oct 2018,4.1550,5.4563,4.8078,3.7208,4.1999,2.9646,3.1910,3.0163,53.0116
16 Oct 2018,4.1510,5.4768,4.8102,3.7020,4.2035,2.9555,3.1985,3.0150,52.9633
17 Oct 2018,4.1480,5.4517,4.7963,3.6966,4.1848,2.9658,3.2043,3.0183,52.9163
18 Oct 2018,4.1560,5.4473,4.7860,3.6919,4.1815,2.9674,3.1886,3.0160,53.0143
19 Oct 2018,4.1560,5.4165,4.7574,3.6959,4.1710,2.9553,3.1839,3.0125,53.0116
22 Oct 2018,4.1570,5.4245,4.7868,3.6863,4.1695,2.9540,3.1767,3.0176,53.0263
23 Oct 2018,4.1615,5.4058,4.7716,3.7073,4.1820,2.9455,3.1770,3.0184,53.0837
24 Oct 2018,4.1620,5.3827,4.7513,3.6996,4.1733,2.9463,3.1771,3.0166,53.0773
25 Oct 2018,4.1700,5.3806,4.7571,3.7129,4.1779,2.9486,3.2003,3.0217,53.1915
26 Oct 2018,4.1730,5.3506,4.7480,3.7256,4.1709,2.9349,3.1758,3.0182,53.2243
29 Oct 2018,4.1780,5.3516,4.7558,3.7317,4.1788,2.9630,3.1876,3.0210,53.2657
30 Oct 2018,4.1770,5.3374,4.7518,3.7017,4.1649,2.9607,3.1847,3.0181,53.2414
31 Oct 2018,4.1820,5.3300,4.7474,3.6966,4.1658,2.9642,3.1868,3.0188,53.3017
1 Nov 2018,4.1790,5.3938,4.7544,3.7015,4.1665,2.9884,3.1864,3.0274,53.3077
2 Nov 2018,4.1640,5.4224,4.7586,3.6885,4.1611,3.0118,3.1891,3.0312,53.1407
5 Nov 2018,4.1730,5.4191,4.7489,3.6851,4.1522,3.0037,3.1828,3.0318,53.2569
7 Nov 2018,4.1680,5.4788,4.7815,3.6830,4.1722,3.0310,3.1790,3.0410,53.2216
8 Nov 2018,4.1590,5.4620,4.7537,3.6575,4.1499,3.0298,3.1760,3.0344,53.1284
9 Nov 2018,4.1750,5.4288,4.7299,3.6690,4.1410,3.0214,3.1641,3.0295,53.3301
12 Nov 2018,4.1860,5.3824,4.7130,3.6719,4.1487,3.0127,3.1703,3.0259,53.4358
13 Nov 2018,4.1900,5.4068,4.7062,3.6716,4.1469,3.0147,3.1651,3.0279,53.5026
14 Nov 2018,4.1940,5.4375,4.7308,3.6844,4.1582,3.0172,3.1662,3.0350,53.5434
15 Nov 2018,4.1890,5.3996,4.7419,3.6930,4.1653,3.0496,3.1677,3.0437,53.4891
16 Nov 2018,4.1880,5.3556,4.7517,3.6941,4.1581,3.0434,3.1829,3.0429,53.4688
19 Nov 2018,4.1870,5.3870,4.7807,3.7109,4.1912,3.0620,3.1823,3.0500,53.4595
21 Nov 2018,4.1930,5.3654,4.7809,3.7146,4.2179,3.0374,3.1560,3.0521,53.5395
22 Nov 2018,4.1930,5.3599,4.7809,3.7132,4.2170,3.0362,3.1669,3.0521,53.5409
23 Nov 2018,4.1950,5.3830,4.7689,3.7167,4.2110,3.0347,3.1735,3.0509,53.5952
26 Nov 2018,4.1900,5.3783,4.7636,3.6981,4.2047,3.0432,3.1757,3.0510,53.5655
27 Nov 2018,4.1870,5.3376,4.7347,3.6851,4.1874,3.0264,3.1560,3.0433,53.5018
28 Nov 2018,4.1950,5.3511,4.7332,3.6850,4.1975,3.0334,3.1485,3.0438,53.5869
29 Nov 2018,4.1850,5.3522,4.7600,3.6918,4.2115,3.0630,3.1506,3.0521,53.4995
30 Nov 2018,4.1860,5.3581,4.7662,3.6904,4.2041,3.0612,3.1476,3.0544,53.5164
3 Dec 2018,4.1650,5.3341,4.7352,3.6728,4.1763,3.0779,3.1625,3.0482,53.2595
4 Dec 2018,4.1480,5.2999,4.7188,3.6724,4.1630,3.0621,3.1486,3.0406,53.1441
5 Dec 2018,4.1530,5.2855,4.7083,3.6742,4.1559,3.0296,3.1261,3.0367,53.1713
6 Dec 2018,4.1600,5.2940,4.7149,3.6873,4.1675,3.0068,3.1015,3.0347,53.2351
7 Dec 2018,4.1640,5.3074,4.7366,3.6902,4.1929,3.0072,3.1098,3.0399,53.2883
10 Dec 2018,4.1700,5.3026,4.7584,3.6994,4.2117,3.0078,3.1309,3.0420,53.3692
11 Dec 2018,4.1820,5.2735,4.7587,3.6983,4.2349,3.0073,3.1172,3.0461,53.5049
12 Dec 2018,4.1850,5.2425,4.7383,3.6875,4.2149,3.0153,3.1287,3.0456,53.5337
13 Dec 2018,4.1780,5.2952,4.7554,3.6827,4.2113,3.0232,3.1303,3.0496,53.4983
14 Dec 2018,4.1830,5.2589,4.7239,3.6825,4.2002,2.9929,3.1230,3.0400,53.5308
17 Dec 2018,4.1790,5.2660,4.7315,3.6845,4.1920,2.9993,3.1240,3.0397,53.4789
18 Dec 2018,4.1750,5.2768,4.7466,3.7114,4.2061,3.0027,3.1133,3.0443,53.3901
19 Dec 2018,4.1770,5.2847,4.7614,3.7169,4.2124,3.0037,3.0987,3.0507,53.3809
20 Dec 2018,4.1790,5.2914,4.7753,3.7359,4.2153,2.9742,3.0992,3.0506,53.3737
21 Dec 2018,4.1770,5.2914,4.7802,3.7590,4.2307,2.9653,3.0895,3.0494,53.3536
24 Dec 2018,4.1830,5.2965,4.7674,3.7691,4.2061,2.9549,3.0814,3.0448,53.4036
26 Dec 2018,4.1750,5.2985,4.7557,3.7779,4.2214,2.9450,3.0703,3.0452,53.3165
27 Dec 2018,4.1670,5.2738,4.7475,3.7585,4.1993,2.9377,3.0608,3.0345,53.1973
28 Dec 2018,4.1550,5.2569,4.7604,3.7629,4.2161,2.9297,3.0529,3.0379,53.0611
31 Dec 2018,4.1340,5.2638,4.7252,3.7548,4.1948,2.9211,3.0357,3.0335,52.7888
2 Jan 2019,4.1360,5.2581,4.7341,3.7959,4.2135,2.9022,3.0369,3.0329,52.7713
3 Jan 2019,4.1390,5.2007,4.7094,3.8445,4.1978,2.8828,3.0391,3.0309,52.8392
4 Jan 2019,4.1370,5.2408,4.7191,3.8288,4.1945,2.9083,3.0786,3.0370,52.8130
7 Jan 2019,4.1140,5.2355,4.7027,3.8022,4.1805,2.9353,3.0787,3.0299,52.4912
8 Jan 2019,4.1170,5.2603,4.7127,3.7798,4.1980,2.9367,3.1006,3.0303,52.5161
9 Jan 2019,4.1100,5.2468,4.7113,3.7745,4.1917,2.9407,3.1042,3.0287,52.4235
10 Jan 2019,4.0950,5.2203,4.7203,3.7896,4.1961,2.9382,3.0917,3.0282,52.2341
11 Jan 2019,4.0920,5.2116,4.7177,3.7780,4.1657,2.9528,3.1031,3.0291,52.1846
14 Jan 2019,4.0970,5.2536,4.7005,3.7858,4.1700,2.9462,3.0860,3.0254,52.2397
15 Jan 2019,4.0970,5.2745,4.6948,3.7729,4.1666,2.9539,3.0893,3.0294,52.2323
16 Jan 2019,4.1085,5.2856,4.6923,3.7849,4.1601,2.9577,3.0996,3.0328,52.3676
17 Jan 2019,4.1090,5.2871,4.6822,3.7760,4.1421,2.9433,3.0918,3.0300,52.3833
18 Jan 2019,4.1100,5.3179,4.6825,3.7534,4.1340,2.9493,3.0963,3.0303,52.3947
22 Jan 2019,4.1300,5.3215,4.6909,3.7741,4.1408,2.9447,3.0973,3.0359,52.6356
23 Jan 2019,4.1370,5.3682,4.7000,3.7753,4.1445,2.9505,3.1042,3.0426,52.7295
24 Jan 2019,4.1400,5.3994,4.7047,3.7746,4.1612,2.9394,3.1000,3.0426,52.7624
25 Jan 2019,4.1180,5.3868,4.6640,3.7474,4.1329,2.9254,3.0930,3.0331,52.4820
28 Jan 2019,4.1090,5.4099,4.6838,3.7566,4.1392,2.9515,3.1079,3.0343,52.3700
29 Jan 2019,4.1090,5.4091,4.7007,3.7583,4.1438,2.9457,3.0986,3.0390,52.3706
30 Jan 2019,4.1070,5.3847,4.6943,3.7545,4.1214,2.9554,3.0999,3.0402,52.3572
31 Jan 2019,4.0880,5.3647,4.6971,3.7591,4.1152,2.9699,3.1109,3.0356,52.1063
4 Feb 2019,4.0970,5.3560,4.6911,3.7293,4.1102,2.9613,3.1287,3.0274,52.2144
7 Feb 2019,4.0700,5.2540,4.6211,3.6987,4.0603,2.8901,3.0731,3.0010,51.8736
8 Feb 2019,4.0650,5.2560,4.6061,3.7022,4.0573,2.8805,3.0529,2.9976,51.8072
11 Feb 2019,4.0710,5.2585,4.6039,3.6979,4.0669,2.8855,3.0644,2.9982,51.8757
12 Feb 2019,4.0760,5.2352,4.5916,3.6847,4.0477,2.8854,3.0679,2.9986,51.9322
13 Feb 2019,4.0660,5.2443,4.6056,3.6733,4.0422,2.8942,3.0733,2.9996,51.8087
14 Feb 2019,4.0690,5.2177,4.5809,3.6631,4.0311,2.8894,3.0682,2.9928,51.8522
15 Feb 2019,4.0890,5.2323,4.6099,3.7055,4.0626,2.8979,3.0717,3.0088,52.0998
18 Feb 2019,4.0830,5.2720,4.6162,3.6920,4.0671,2.9198,3.0862,3.0111,52.0293
19 Feb 2019,4.0790,5.2717,4.6187,3.6811,4.0632,2.9014,3.0773,3.0074,51.9677
20 Feb 2019,4.0700,5.3020,4.6166,3.6716,4.0639,2.9113,3.0840,3.0097,51.8524
21 Feb 2019,4.0750,5.3305,4.6268,3.6795,4.0717,2.8965,3.0897,3.0125,51.9247
22 Feb 2019,4.0740,5.3096,4.6224,3.6776,4.0716,2.8978,3.0815,3.0122,51.9047
25 Feb 2019,4.0680,5.3148,4.6143,3.6748,4.0680,2.9111,3.0971,3.0124,51.8302
26 Feb 2019,4.0690,5.3467,4.6195,3.6707,4.0674,2.9057,3.0788,3.0141,51.8364
27 Feb 2019,4.0650,5.3971,4.6313,3.6817,4.0748,2.9142,3.0891,3.0162,51.7854
28 Feb 2019,4.0660,5.4090,4.6275,3.6690,4.0762,2.9027,3.0878,3.0145,51.7982
1 Mar 2019,4.0710,5.3933,4.6255,3.6377,4.0682,2.8867,3.0975,3.0095,51.8665
4 Mar 2019,4.0740,5.3911,4.6207,3.6411,4.0659,2.8824,3.0636,3.0075,51.8994
5 Mar 2019,4.0740,5.3691,4.6179,3.6391,4.0703,2.8840,3.0526,3.0066,51.9001
6 Mar 2019,4.0910,5.3797,4.6253,3.6579,4.0719,2.8743,3.0608,3.0125,52.1153
7 Mar 2019,4.0860,5.3804,4.6217,3.6570,4.0673,2.8778,3.0409,3.0099,52.0516
8 Mar 2019,4.0890,5.3537,4.5830,3.6828,4.0493,2.8676,3.0379,3.0062,52.0898
11 Mar 2019,4.0870,5.3119,4.5962,3.6740,4.0546,2.8809,3.0470,3.0074,52.0650
12 Mar 2019,4.0825,5.3971,4.6055,3.6637,4.0489,2.8867,3.0451,3.0098,52.0064
13 Mar 2019,4.0865,5.3737,4.6145,3.6700,4.0589,2.8855,3.0590,3.0134,52.0580
14 Mar 2019,4.0860,5.4364,4.6278,3.6583,4.0681,2.8872,3.0701,3.0159,52.0516
15 Mar 2019,4.0860,5.4107,4.6258,3.6583,4.0709,2.8949,3.0722,3.0182,52.0516
18 Mar 2019,4.0740,5.4017,4.6207,3.6525,4.0683,2.8954,3.0579,3.0135,51.8981
19 Mar 2019,4.0730,5.4012,4.6241,3.6598,4.0722,2.8906,3.0562,3.0150,51.8854
20 Mar 2019,4.0700,5.3797,4.6162,3.6466,4.0667,2.8832,3.0517,3.0112,51.8471
21 Mar 2019,4.0600,5.3434,4.6272,3.6752,4.0878,2.8972,3.0501,3.0121,51.7316
22 Mar 2019,4.0600,5.3218,4.5890,3.6732,4.0779,2.8794,3.0371,3.0041,51.7336
25 Mar 2019,4.0680,5.3738,4.5997,3.6945,4.0926,2.8834,3.0297,3.0104,51.8316
26 Mar 2019,4.0660,5.3618,4.5966,3.6910,4.0938,2.8970,3.0339,3.0110,51.8015
27 Mar 2019,4.0750,5.3766,4.5942,3.6858,4.0992,2.8933,3.0442,3.0094,51.9155
28 Mar 2019,4.0770,5.3613,4.5870,3.6963,4.0926,2.8902,3.0366,3.0077,51.9350
29 Mar 2019,4.0830,5.3165,4.5844,3.6857,4.1027,2.8936,3.0409,3.0122,52.0134
1 Apr 2019,4.0780,5.3352,4.5853,3.6732,4.1010,2.9056,3.0547,3.0118,51.9490
2 Apr 2019,4.0820,5.3229,4.5702,3.6643,4.0820,2.8847,3.0613,3.0092,52.0007
3 Apr 2019,4.0770,5.3698,4.5842,3.6562,4.0909,2.9024,3.0638,3.0142,51.9356
4 Apr 2019,4.0820,5.3719,4.5845,3.6636,4.0869,2.9011,3.0547,3.0141,52.0040
5 Apr 2019,4.0850,5.3432,4.5875,3.6571,4.0838,2.9093,3.0586,3.0168,52.0415
8 Apr 2019,4.0970,5.3478,4.6018,3.6751,4.0954,2.9097,3.0611,3.0209,52.2011
9 Apr 2019,4.0930,5.3643,4.6165,3.6761,4.0991,2.9261,3.0777,3.0249,52.1767
10 Apr 2019,4.1010,5.3571,4.6210,3.6896,4.0961,2.9306,3.0765,3.0299,52.3274
11 Apr 2019,4.1100,5.3746,4.6357,3.6987,4.1043,2.9403,3.0782,3.0366,52.4014
12 Apr 2019,4.1140,5.3766,4.6521,3.6745,4.1074,2.9444,3.0840,3.0371,52.4491
15 Apr 2019,4.1080,5.3802,4.6486,3.6685,4.0973,2.9446,3.0802,3.0378,52.4000
16 Apr 2019,4.1280,5.4023,4.6663,3.6874,4.1066,2.9511,3.0834,3.0483,52.6383
17 Apr 2019,4.1350,5.3925,4.6788,3.6913,4.1038,2.9760,3.1037,3.0571,52.7034
18 Apr 2019,4.1450,5.3968,4.6669,3.7042,4.0995,2.9691,3.1005,3.0588,52.8349
19 Apr 2019,4.1300,5.3686,4.6446,3.6898,4.0750,2.9546,3.0883,3.0473,52.6443
22 Apr 2019,4.1340,5.3697,4.6483,3.6930,4.0725,2.9500,3.0941,3.0464,52.6933
23 Apr 2019,4.1260,5.3597,4.6413,3.6879,4.0515,2.9356,3.0865,3.0401,52.5940
24 Apr 2019,4.1290,5.3400,4.6319,3.6919,4.0564,2.9097,3.0703,3.0387,52.6510
25 Apr 2019,4.1305,5.3230,4.6039,3.6922,4.0483,2.8975,3.0583,3.0278,52.6581
26 Apr 2019,4.1300,5.3314,4.6012,3.6984,4.0462,2.9055,3.0615,3.0307,52.6457
29 Apr 2019,4.1315,5.3470,4.6124,3.6971,4.0525,2.9119,3.0672,3.0356,52.6695
30 Apr 2019,4.1350,5.3643,4.6337,3.7125,4.0603,2.9156,3.0739,3.0391,52.7101
2 May 2019,4.1350,5.3974,4.6349,3.7072,4.0587,2.9032,3.0753,3.0382,52.7107
3 May 2019,4.1410,5.3899,4.6230,3.7132,4.0590,2.8975,3.0763,3.0366,52.7852
6 May 2019,4.1460,5.4342,4.6361,3.7439,4.0735,2.8968,3.0757,3.0412,52.8422
7 May 2019,4.1470,5.4301,4.6422,3.7502,4.0705,2.9108,3.0842,3.0443,52.8395
8 May 2019,4.1470,5.4077,4.6434,3.7645,4.0741,2.9083,3.0792,3.0459,52.8374
9 May 2019,4.1520,5.3930,4.6453,3.7842,4.0786,2.8964,3.0787,3.0442,52.9045
10 May 2019,4.1560,5.4045,4.6668,3.7833,4.0994,2.9084,3.0879,3.0494,52.9562
13 May 2019,4.1640,5.4165,4.6753,3.7968,4.1232,2.9044,3.1001,3.0430,53.0554
14 May 2019,4.1690,5.3968,4.6864,3.8011,4.1367,2.8945,3.0969,3.0451,53.1117
15 May 2019,4.1730,5.3882,4.6788,3.8134,4.1489,2.8906,3.0975,3.0500,53.1592
16 May 2019,4.1630,5.3428,4.6701,3.7997,4.1287,2.8850,3.1032,3.0427,53.0373
17 May 2019,4.1745,5.3354,4.6642,3.8078,4.1356,2.8704,3.0945,3.0342,53.1831
21 May 2019,4.1845,5.3118,4.6636,3.7999,4.1422,2.8756,3.1158,3.0340,53.3105
23 May 2019,4.1920,5.2916,4.6690,3.8061,4.1530,2.8807,3.1146,3.0335,53.4067
24 May 2019,4.1900,5.3159,4.6865,3.8247,4.1766,2.8894,3.1145,3.0422,53.3867
27 May 2019,4.1850,5.3166,4.6834,3.8216,4.1600,2.8969,3.1120,3.0447,53.3135
28 May 2019,4.1845,5.3022,4.6825,3.8306,4.1695,2.8944,3.1084,3.0373,53.3139
29 May 2019,4.1950,5.3025,4.6791,3.8391,4.1708,2.9013,3.1051,3.0324,53.4415
30 May 2019,4.1940,5.2949,4.6688,3.8225,4.1541,2.9056,3.1060,3.0389,53.4342
31 May 2019,4.1890,5.2836,4.6691,3.8505,4.1665,2.8975,3.0940,3.0404,53.4032
3 Jun 2019,4.1810,5.2852,4.6739,3.8606,4.1927,2.9054,3.0934,3.0494,53.3618
4 Jun 2019,4.1730,5.2809,4.6925,3.8585,4.1973,2.9103,3.1056,3.0484,53.2318
7 Jun 2019,4.1570,5.2856,4.6824,3.8306,4.1808,2.8978,3.1118,3.0410,53.0094
10 Jun 2019,4.1620,5.2799,4.7010,3.8310,4.2002,2.8988,3.1369,3.0437,53.0658
11 Jun 2019,4.1630,5.2895,4.7084,3.8302,4.1995,2.8950,3.1386,3.0491,53.1280
12 Jun 2019,4.1585,5.2992,4.7132,3.8412,4.1929,2.8902,3.1267,3.0483,53.1499
13 Jun 2019,4.1620,5.2728,4.6993,3.8391,4.1913,2.8743,3.1237,3.0446,53.1831
14 Jun 2019,4.1660,5.2746,4.6980,3.8481,4.1853,2.8729,3.1222,3.0464,53.2287
17 Jun 2019,4.1750,5.2551,4.6810,3.8447,4.1771,2.8691,3.1122,3.0457,53.3165
18 Jun 2019,4.1800,5.2380,4.6778,3.8593,4.1800,2.8600,3.1129,3.0471,53.3578
19 Jun 2019,4.1750,5.2467,4.6752,3.8497,4.1804,2.8678,3.1201,3.0515,53.3437
20 Jun 2019,4.1500,5.2747,4.6849,3.8494,4.2013,2.8697,3.1399,3.0578,53.0962
21 Jun 2019,4.1510,5.2614,4.6919,3.8636,4.2245,2.8700,3.1476,3.0583,53.1498
24 Jun 2019,4.1430,5.2728,4.7164,3.8579,4.2431,2.8790,3.1410,3.0585,53.0311
25 Jun 2019,4.1420,5.2856,4.7157,3.8685,4.2443,2.8857,3.1436,3.0602,53.0563
26 Jun 2019,4.1485,5.2574,4.7115,3.8605,4.2509,2.8957,3.1514,3.0618,53.1205
27 Jun 2019,4.1430,5.2595,4.7106,3.8375,4.2310,2.8984,3.1566,3.0578,53.0263
28 Jun 2019,4.1320,5.2381,4.7059,3.8377,4.2410,2.8969,3.1544,3.0542,52.9275
1 Jul 2019,4.1325,5.2227,4.6813,3.8168,4.1984,2.8923,3.1541,3.0514,52.9217
2 Jul 2019,4.1360,5.2172,4.6708,3.8215,4.1858,2.8878,3.1500,3.0492,52.9985
3 Jul 2019,4.1360,5.2018,4.6683,3.8403,4.1956,2.9002,3.1560,3.0506,53.0481
4 Jul 2019,4.1340,5.1993,4.6623,3.8342,4.1889,2.9012,3.1608,3.0471,53.0755
5 Jul 2019,4.1330,5.1877,4.6538,3.8254,4.1845,2.8997,3.1627,3.0448,53.0423
8 Jul 2019,4.1390,5.1874,4.6485,3.8183,4.1757,2.8919,3.1661,3.0441,53.0743
9 Jul 2019,4.1425,5.1645,4.6384,3.8029,4.1637,2.8720,3.1545,3.0404,53.0328
10 Jul 2019,4.1370,5.1630,4.6430,3.7972,4.1733,2.8645,3.1532,3.0388,52.9380
11 Jul 2019,4.1130,5.1544,4.6362,3.8062,4.1718,2.8696,3.1527,3.0343,52.6033
12 Jul 2019,4.1100,5.1531,4.6279,3.7933,4.1641,2.8758,3.1540,3.0252,52.5374
15 Jul 2019,4.1090,5.1572,4.6317,3.8078,4.1801,2.8874,3.1540,3.0284,52.4837
16 Jul 2019,4.1090,5.1227,4.6206,3.8032,4.1745,2.8886,3.1475,3.0273,52.5716
17 Jul 2019,4.1130,5.1005,4.6103,3.7988,4.1550,2.8824,3.1493,3.0212,52.6275
18 Jul 2019,4.1110,5.1297,4.6199,3.8153,4.1723,2.8909,3.1495,3.0230,52.5945
19 Jul 2019,4.1090,5.1412,4.6222,3.8159,4.1767,2.8993,3.1506,3.0240,52.6417
22 Jul 2019,4.1105,5.1229,4.6099,3.8106,4.1863,2.8938,3.1503,3.0220,52.6434
23 Jul 2019,4.1160,5.1154,4.6025,3.8044,4.1795,2.8915,3.1346,3.0174,52.7091
24 Jul 2019,4.1170,5.1318,4.5855,3.8096,4.1750,2.8720,3.1315,3.0163,52.6848
25 Jul 2019,4.1155,5.1320,4.5801,3.8071,4.1731,2.8652,3.1335,3.0133,52.6602
26 Jul 2019,4.1185,5.1230,4.5855,3.7896,4.1517,2.8537,3.1236,3.0088,52.6905
29 Jul 2019,4.1250,5.0841,4.5874,3.7962,4.1583,2.8475,3.1307,3.0070,52.7642
31 Jul 2019,4.1285,5.0186,4.6008,3.8019,4.1660,2.8458,3.1391,3.0146,52.7449
1 Aug 2019,4.1430,5.0180,4.5768,3.7971,4.1630,2.8384,3.1339,3.0122,52.9376
2 Aug 2019,4.1550,5.0342,4.6096,3.8850,4.2110,2.8200,3.1413,3.0166,53.1242
5 Aug 2019,4.1750,5.0659,4.6530,3.9402,4.2807,2.8202,3.1536,3.0205,53.2967
6 Aug 2019,4.1880,5.1014,4.6893,3.9350,4.2967,2.8432,3.1730,3.0308,53.4661
7 Aug 2019,4.1830,5.0790,4.6804,3.9369,4.2771,2.8139,3.1465,3.0239,53.3451
8 Aug 2019,4.1800,5.0812,4.6875,3.9382,4.2867,2.8345,3.1457,3.0233,53.3027
9 Aug 2019,4.1830,5.0681,4.6816,3.9488,4.2929,2.8461,3.1639,3.0252,53.3532
13 Aug 2019,4.1950,5.0613,4.6942,3.9839,4.3176,2.8371,3.1651,3.0208,53.4626
14 Aug 2019,4.1850,5.0475,4.6772,3.9311,4.2963,2.8332,3.1602,3.0190,53.3434
15 Aug 2019,4.1910,5.0640,4.6721,3.9508,4.2989,2.8373,3.1497,3.0162,53.4600
16 Aug 2019,4.1800,5.0766,4.6323,3.9312,4.2653,2.8357,3.1429,3.0113,53.3088
19 Aug 2019,4.1750,5.0622,4.6342,3.9172,4.2672,2.8261,3.1457,3.0134,53.2268
20 Aug 2019,4.1800,5.0540,4.6302,3.9271,4.2662,2.8324,3.1360,3.0150,53.2878
21 Aug 2019,4.1770,5.0734,4.6361,3.9206,4.2622,2.8345,3.1392,3.0181,53.2590
22 Aug 2019,4.1830,5.0815,4.6423,3.9310,4.2579,2.8302,3.1456,3.0178,53.3376
23 Aug 2019,4.1880,5.1106,4.6344,3.9272,4.2419,2.8307,3.1449,3.0199,53.4129
26 Aug 2019,4.2010,5.1420,4.6686,3.9666,4.2924,2.8395,3.1596,3.0280,53.5493
